,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,latitude,longitude,postal_code,city_name,smileys,cvr_number,checked_findsmiley
1205,Eatalian,"Åboulevard 11D, København","(12.555698, 55.68314299999999)",5.0,27,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",ChIJbXAUMQRTUkYRaM9iPfrbDsQ,OPERATIONAL,"Åboulevard 11D, 1635 København, Denmark",30 66 06 61,,http://www.eatalian.dk/,,55.68314299999999,12.555698,1500-1799,København V,"[1, 1]",40252649,1
1206,INDIAN AROMA - RESTAURANT & TAKEAWAY,"Åboulevard 13A, København","(12.555608, 55.683208)",4.5,13,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJfw2pQndTUkYRT6NMpLN5XZU,OPERATIONAL,"Åboulevard 13A, 1635 København, Denmark",60 70 60 17,,http://www.indianaroma.dk/,,55.683208,12.555608,1500-1799,København V,,0,1
1207,Restaurant Babylon,"Gyldenløvesgade 24, København","(12.5593168, 55.68193309999999)",4.1,36,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJGZFFIm1TUkYRBIAdvwSFnmQ,OPERATIONAL,"Gyldenløvesgade 24, 1369 København, Denmark",42 65 80 51,,http://restaurantbabylon.dk/,,55.68193309999999,12.5593168,1000-1499,København K,[1],39911558,1
1208,Thai Pan,"Korsgade 1, København N","(12.5594827, 55.68448369999999)",4.3,270,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJr6_PxwdTUkYRQyMKLjro3O8,CLOSED_TEMPORARILY,"Korsgade 1, 2200 København, Denmark",35 36 05 05,2.0,http://www.thaipan.dk/,,55.68448369999999,12.5594827,2200,København N,,0,1
1209,Kami Sushi,"Åboulevard 27, Frederiksberg","(12.5533983, 55.6846963)",4.5,75,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJLXtdj25TUkYR_Gl3WJVmWnY,OPERATIONAL,"Åboulevard 27, 1960 Frederiksberg, Denmark",60 69 66 77,,https://kamisushi.dk/,"('1300', '2300'); ('1400', '2300'); ('1400', '2300'); ('1400', '2300'); ('1400', '2300'); ('1300', '2300'); ('1300', '2300')",55.6846963,12.5533983,2200,København N,,0,1
1210,Poporoya,"Blågårdsgade 35, København N","(12.5570006, 55.68530159999999)",4.9,35,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ8-I9solTUkYRFC4KTiruyIE,OPERATIONAL,"Blågårdsgade 35, 2200 København, Denmark",35 35 10 00,,https://poporoya.dk/,"('1200', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1600', '2200'); ('1200', '2200'); ('1200', '2200')",55.68530159999999,12.5570006,2200,København N,,0,1
1211,Ranee's,"Blågårds Plads 10, København","(12.5572346, 55.6867636)",4.3,155,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJE6r01qlTUkYRTDYgTjzXg8o,OPERATIONAL,"Blågårds Pl. 10, 2200 København, Denmark",35 36 85 05,2.0,http://www.ranees.dk/,"('1700', '2200'); ('1700', '2200'); ('1700', '2200'); ('1700', '2200'); ('1700', '2200'); ('1700', '2200'); ('1700', '2200')",55.6867636,12.5572346,2200,København N,['Elite'],30297474,1
1212,Kate's Joint restaurant & take away,"Blågårdsgade 12, st tv, København N","(12.558751, 55.6870105)",4.3,200,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJwcanbwdTUkYRQsDnIvgHFtI,OPERATIONAL,"Blågårdsgade 12, st tv, 2200 København, Denmark",35 37 44 96,2.0,https://da-dk.facebook.com/katesjoint/,,55.6870105,12.558751,2200,København N,,0,1
1213,Ahaaa,"Blågårdsgade 21, København N","(12.5585259, 55.6865096)",4.4,374,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJBTu4cAdTUkYRtemsVjVQCeg,OPERATIONAL,"Blågårdsgade 21, 2200 København N, Denmark",35 39 00 85,1.0,http://ahaaa.dk/,"('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1400', '2100'); ('1100', '2100')",55.6865096,12.5585259,2200,København N,"[1, 1, 1, 2]",37287105,1
1214,Blågårdskebab,"Blågårdsgade 31, København","(12.5576007, 55.6858178)",4.4,44,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJP3MchAdTUkYRlQtzevBN4jg,OPERATIONAL,"Blågårdsgade 31, 2200 København, Denmark",35 39 11 13,,,"('1200', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1200', '2130')",55.6858178,12.5576007,2200,København N,,0,1
