,Unnamed: 0,Unnamed: 0.1,name,address,location,rating,total_ratings,types,ref,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,smileys,cvr_number,checked_findsmiley,city_name
2020,2020,ChIJIY8LyVhSUkYRhWlqAW8YB64,San Marino,"Tåsingegade 51, København","(55.7102659, 12.5663436)",4.2,103.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJIY8LyVhSUkYRhWlqAW8YB64,OPERATIONAL,"Tåsingegade 51, 2100 København, Denmark",39 20 46 25,1.0,,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')","[1, 1, 2, 1]",18904543,1,København
2021,2021,ChIJid5pmVhSUkYRRpXv95ZbHjo,Durum Aps,"Vejrøgade 14, København","(55.70890499999999, 12.567436)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJid5pmVhSUkYRRpXv95ZbHjo,OPERATIONAL,"Vejrøgade 14, 2100 København, Denmark",,,,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",,,1,København
2022,2022,ChIJBSbO015SUkYRjHUE46ko9ZE,Gro Eatery,"Æbeløgade 4, København Ø","(55.711246, 12.5642614)",4.5,158.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJBSbO015SUkYRjHUE46ko9ZE,OPERATIONAL,"Æbeløgade 4, 2100 København, Denmark",52 64 95 36,3.0,http://www.grospiseri.dk/,,,,1,København Ø
2023,2023,ChIJ___P015SUkYRt-zk9fzJ_Vw,Rødder,"Æbeløgade 4, København Ø","(55.7112451, 12.5642816)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ___P015SUkYRt-zk9fzJ_Vw,OPERATIONAL,"Æbeløgade 4, 2100 København, Denmark",,,https://www.rodder.dk/,,,,1,København Ø
2024,2024,ChIJzV5VkwNPUkYRKKVYhFBf-2I,Magnussen Jette Søndergaard,"A, Rebekkavej 36","(55.7314135, 12.5645944)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJzV5VkwNPUkYRKKVYhFBf-2I,CLOSED_TEMPORARILY,"A, Rebekkavej 36, 2900 Hellerup, Denmark",20 12 59 06,,,,,,1,
2025,2025,ChIJvzw3Q3pSUkYRg7A_dZjS1Bg,Tavola Calda,"Rebekkavej 34, Hellerup","(55.731414, 12.5645189)",4.7,96.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJvzw3Q3pSUkYRg7A_dZjS1Bg,OPERATIONAL,"Rebekkavej 34, 2900 Hellerup, Denmark",31 70 98 90,2.0,http://www.tavolacalda34.dk/,,"[1, 2, 1, 1]",39443449,1,Hellerup
2026,2026,ChIJF2iwJHpSUkYRqMqxADwboCA,Esthers spisehus,"Hellerupvej 39, Hellerup","(55.7327322, 12.5654895)",4.5,197.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJF2iwJHpSUkYRqMqxADwboCA,OPERATIONAL,"Hellerupvej 39, 2900 Hellerup, Denmark",39 62 13 60,2.0,http://www.esthers-spisehus.dk/,,,,1,Hellerup
2027,2027,ChIJq_L7FHpSUkYRs4XCwkXA2cc,Ca' Cucina,"Rebekkavej 49, Hellerup","(55.7322609, 12.5642392)",4.9,73.0,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJq_L7FHpSUkYRs4XCwkXA2cc,OPERATIONAL,"Rebekkavej 49, 2900 Hellerup, Denmark",31 70 75 52,2.0,https://ca-cucina.dk/,,,,1,Hellerup
2028,2028,ChIJmSnVG3pSUkYRaEP_NbqH6mk,Thai Cooking - Thai Restaurant og Take Away,"Hellerupvej 43, Hellerup","(55.732985, 12.564344)",4.2,69.0,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJmSnVG3pSUkYRaEP_NbqH6mk,OPERATIONAL,"Hellerupvej 43, 2900 Hellerup, Denmark",39 30 36 06,2.0,http://www.thaicooking.dk/,"('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200'); ('1200', '2200')",,,1,Hellerup
2029,2029,ChIJMXAP2odNUkYRRiDtJJQsAEs,Shawarma 2 ApS,"Cottagevej 5A, Hellerup","(55.74095089999999, 12.5671928)",,,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJMXAP2odNUkYRRiDtJJQsAEs,OPERATIONAL,"Cottagevej 5A, 2900 Hellerup, Denmark",46 46 20 40,,,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",,,1,Hellerup
