,business_status,formatted_address,formatted_phone_number,price_level,website,opening_hours,ref
ChIJe6s9q-lTUkYRtflYb87N52U,OPERATIONAL,"Göteborg Pl. 2, 2150 København, Denmark",50 70 00 37,,https://www.johnogwoo.dk/,"('1000', '0000'); ('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '2300'); ('1000', '0000'); ('1000', '0000')",ChIJe6s9q-lTUkYRtflYb87N52U
ChIJCRWOXXpTUkYR55fLK4aRB20,OPERATIONAL,"Göteborg Pl. 14, 2150 København, Denmark",33 21 01 21,,https://oliolipoke.dk/,"('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000'); ('1100', '2000')",ChIJCRWOXXpTUkYR55fLK4aRB20
ChIJAQrmdyNTUkYRtnse7VR_rNo,OPERATIONAL,"Hamborg Pl. 8, 2150 København, Denmark",31 12 94 94,,https://frydoggammen.dk/,,ChIJAQrmdyNTUkYRtnse7VR_rNo
ChIJESz_kbFTUkYR4e4ptfBaqyE,OPERATIONAL,"Hamborg Pl. 5, 2150 København, Denmark",53 70 44 52,,https://lovesanchez.com/cantina,,ChIJESz_kbFTUkYR4e4ptfBaqyE
ChIJc7_JfGlTUkYRbVK5FOovyOs,OPERATIONAL,"Sandkaj 39, 2150 København, Denmark",61 61 51 86,,https://www.sushianaba.com/,"('1700', '0000'); ('1700', '0000'); ('1700', '0000'); ('1700', '0000'); ('1700', '0000'); ('1700', '0000'); ('1700', '0000')",ChIJc7_JfGlTUkYRbVK5FOovyOs
ChIJfSvsB5xTUkYRsE4BNbNIvIc,OPERATIONAL,"Færgehavnsvej 35, 2150 København, Denmark",28 19 21 05,,http://www.hungrydane.com/,"('1200', '2000'); ('1200', '2000'); ('1200', '2000'); ('1200', '2000'); ('1200', '2000'); ('1200', '2000'); ('1200', '2000')",ChIJfSvsB5xTUkYRsE4BNbNIvIc
ChIJ25E0LwtNUkYRrh4Hd8-PDlY,OPERATIONAL,"Strandvejen 267, 2920 Charlottenlund, Denmark",39 64 00 28,,http://www.skovshovedhotel.com/,"('0800', '1600'); ('0700', '1800'); ('0700', '1800'); ('0700', '1800'); ('0700', '1800'); ('0700', '1800'); ('0800', '1800')",ChIJ25E0LwtNUkYRrh4Hd8-PDlY
ChIJ3T7hLgtNUkYRHhewDRqtbdQ,OPERATIONAL,"Strandvejen 267, 2920 Charlottenlund, Denmark",39 90 58 11,2.0,http://www.skovshovedkro.dk/,"('1200', '2200'); ('1200', '2300'); ('1200', '2300'); ('1200', '2300'); ('1200', '2300'); ('1200', '2300'); ('1200', '2300')",ChIJ3T7hLgtNUkYRHhewDRqtbdQ
ChIJ25E0LwtNUkYR3g1zgp5p-sE,OPERATIONAL,"Strandvejen 267, 2920 Charlottenlund, Denmark",39 64 00 69,,http://www.skovshovedhotel.com/,,ChIJ25E0LwtNUkYR3g1zgp5p-sE
ChIJp3KTmCBNUkYRKVmZXNj-tf4,OPERATIONAL,"Strandvejen 267, 2920 Charlottenlund, Denmark",39 64 00 69,,https://ahb.dk/skovshoved-hotel,,ChIJp3KTmCBNUkYRKVmZXNj-tf4
ChIJg7GNJAtNUkYRpZCtUJ3Py9k,OPERATIONAL,"Strandvejen 232, 2920 Charlottenlund, Denmark",,,,,ChIJg7GNJAtNUkYRpZCtUJ3Py9k
ChIJ_1ps2eJNUkYRp5Uell--PEY,CLOSED_TEMPORARILY,"Skovshoved Havn 14, 2920 Charlottenlund, Denmark",,,https://www.halgodt.dk/,,ChIJ_1ps2eJNUkYRp5Uell--PEY
ChIJiR1HWgtNUkYRMDiJiroymEo,OPERATIONAL,"2920 Charlottenlund, Denmark",,1.0,https://www.facebook.com/Halgodt,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJiR1HWgtNUkYRMDiJiroymEo
ChIJLxKINwpNUkYRU3TuvepGMCQ,OPERATIONAL,"Strandvejen 323, 2920 Charlottenlund, Denmark",39 64 32 02,,http://www.costasmeralda.dk/,"('1200', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100'); ('1100', '2100')",ChIJLxKINwpNUkYRU3TuvepGMCQ
ChIJn8NNOUZNUkYRe7SaLjRulug,OPERATIONAL,"Strandvejen, 2920 Strandvejen, Denmark",,,,,ChIJn8NNOUZNUkYRe7SaLjRulug
ChIJqXx82gtNUkYRMEOoryJ17j4,OPERATIONAL,"Kystvejen 24, 2920 Charlottenlund, Denmark",44 11 39 11,2.0,http://oliversgarage.dk/,"('0900', '2100'); ('0900', '2100'); ('0900', '2100'); ('0900', '2100'); ('0900', '2100'); ('0900', '2100'); ('0900', '2100')",ChIJqXx82gtNUkYRMEOoryJ17j4
ChIJcS-4xAtNUkYRR8ZBXxSx1w0,OPERATIONAL,"Skovshoved Havn 1B, 2920 Charlottenlund, Denmark",39 65 67 05,2.0,http://www.ilgabbiano.dk/,"('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200'); ('1100', '2200')",ChIJcS-4xAtNUkYRR8ZBXxSx1w0
ChIJj1A0YXNNUkYR7Vm2oVM3IDo,OPERATIONAL,"2920, Skovshoved Havn 1E, 2920 Charlottenlund, Denmark",39 64 30 46,,,,ChIJj1A0YXNNUkYR7Vm2oVM3IDo
ChIJrX49AzarU0YRJNmBWTFypNw,OPERATIONAL,"Englandsvej 382A, 2770 Kastrup, Denmark",,,,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJrX49AzarU0YRJNmBWTFypNw
ChIJGWgQ90yrU0YRGzQLx7vUOJw,OPERATIONAL,"Tårnby Torv 11A, 2770 Kastrup, Denmark",,,https://selskabslokaler.dk/leje/storkobenhavn/2770-kastrup/restaurant-flakfortet-selskabslokaler-1085,,ChIJGWgQ90yrU0YRGzQLx7vUOJw
ChIJkW4Tc2CrU0YRBiOX_Gk8xtU,OPERATIONAL,"2770 Kastrup, Denmark",,,,,ChIJkW4Tc2CrU0YRBiOX_Gk8xtU
ChIJO6-4_EyrU0YRWyeRpvRhxp0,OPERATIONAL,"Tårnby Torv 5, 2770 Kastrup, Denmark",32 51 12 10,1.0,,"('1100', '1800'); ('1000', '2100'); ('1000', '2100'); ('1000', '2100'); ('1000', '2200'); ('1000', '0000'); ('1000', '2100')",ChIJO6-4_EyrU0YRWyeRpvRhxp0
ChIJO6-4_EyrU0YRG7Y3H3n5mII,OPERATIONAL,"Tårnby Torv 5, 2770 Kastrup, Denmark",32 52 22 55,2.0,http://www.taarnbycafe.dk/,"('1100', '2200'); ('1030', '2200'); ('1030', '2200'); ('1030', '2200'); ('1030', '2200'); ('1030', '2200'); ('1100', '2200')",ChIJO6-4_EyrU0YRG7Y3H3n5mII
ChIJte4E3lKrU0YRPsesTZSWnSY,OPERATIONAL,"Melstedvej 21, 2770 Kastrup, Denmark",23 96 54 81,,,,ChIJte4E3lKrU0YRPsesTZSWnSY
ChIJlTNk51KrU0YRkTjrf46dtb8,OPERATIONAL,"Melstedvej 17, 2770 Kastrup, Denmark",32 51 54 79,,,"('1130', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1130', '2130')",ChIJlTNk51KrU0YRkTjrf46dtb8
ChIJY6X43VKrU0YR1j5j9vhaIKc,OPERATIONAL,"Melstedvej 19, 2770 Kastrup, Denmark",29 90 71 44,,,,ChIJY6X43VKrU0YR1j5j9vhaIKc
ChIJ8eKnkAarU0YRgbWlbIwOx-U,OPERATIONAL,"Melstedvej 19, 2770 Kastrup, Denmark",91 99 85 66,,https://vivid-sushi.dk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_term=discount&utm_content=10,,ChIJ8eKnkAarU0YRgbWlbIwOx-U
ChIJMVy6d1VTUkYRUQD_PnKak6k,OPERATIONAL,"Sundbyvestervej 95, 2300 København, Denmark",,,,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJMVy6d1VTUkYRUQD_PnKak6k
ChIJwVYBalJTUkYReJMjFny8KZA,OPERATIONAL,"Englandsvej 35, 2300 København, Denmark",29 83 26 88,1.0,https://www.dagensmenu.dk/takeaway/power-grill-amager-k%C3%B8benhavn-s?ad-id=2227,"('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100'); ('1700', '2100')",ChIJwVYBalJTUkYReJMjFny8KZA
ChIJUWI-clJTUkYRaqqD4gKLkYI,OPERATIONAL,"Englandsvej 34, 2300 København, Denmark",25 14 30 99,,,,ChIJUWI-clJTUkYRaqqD4gKLkYI
ChIJrRpq7YpTUkYRQrsnqeBJ-R8,OPERATIONAL,"Englandsvej 34, 2300 København, Denmark",32 84 11 88,,http://flintstonespizza-2300.dk/,"('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130'); ('1100', '2130')",ChIJrRpq7YpTUkYRQrsnqeBJ-R8
ChIJi-m4YE5TUkYRtYz7xsIbK-8,OPERATIONAL,"Gullandsgade 2, 2300 København, Denmark",32 58 03 40,1.0,http://www.pizzeriasardegna.dk/,"('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100'); ('1200', '2100')",ChIJi-m4YE5TUkYRtYz7xsIbK-8
ChIJGfZB301TUkYRYjaJvwN1q_I,OPERATIONAL,"Tingvej 43, 2300 København, Denmark",32 17 27 27,,https://pizzerialasorpresa.dk/,,ChIJGfZB301TUkYRYjaJvwN1q_I
